Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Heart,,E,VS1,3.01,1.11,60.7,61,Excellent,Excellent,Medium to Thick,None,8.9,9.87,5.99,6430,GIA Lab-Grown,
Radiant,,G,VS1,1.02,1.26,69.7,68,Excellent,Excellent,Thick to Very Thick,None,6.22,4.94,3.44,3380,GIA,Strong
Pear,,E,VS1,1.05,1.55,61.4,60,Excellent,Excellent,Medium to Thick,None,8.91,5.73,3.52,1060,GIA Lab-Grown,
Marquise,,F,VS2,1,2.03,63.6,56,Excellent,Excellent,Slightly Thick to Very Thick,None,10.44,5.14,3.27,5550,GIA,None
Radiant,,F,VS2,1,1.23,66,66,Excellent,Very Good,Slightly Thick to Thick,None,6.32,5.15,3.4,3280,GIA,None
Round,Excellent,H,VS2,1,1,61.8,57,Excellent,Excellent,Medium to Slightly Thick,None,6.36,6.39,3.94,4030,GIA,None
Marquise,,D,VS1,1,1.85,60.1,62,Excellent,Very Good,Slightly Thick to Thick,None,9.96,5.39,3.24,6770,GIA,None
Radiant,,D,VVS2,1.06,1.3,67.1,66,Excellent,Very Good,Medium to Slightly Thick,None,6.89,5.31,3.56,1270,GIA Lab-Grown,
Princess,Ideal,F,VVS2,1.09,1,71.7,70,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.56,5.55,3.98,1210,IGI Lab-Grown,None
Marquise,,D,VVS2,1.08,2.05,63.5,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.82,5.29,3.36,1390,IGI Lab-Grown,None
Radiant,,F,VS1,1.21,1.42,68.1,66,Excellent,Excellent,Medium,Pointed,7.49,5.26,3.58,1230,IGI Lab-Grown,None
Emerald,,H,VS1,1.03,1.4,67.7,68,Excellent,Very Good,Thick to Very Thick,None,6.71,4.79,3.24,2690,GIA,Medium
Oval,,H,VS2,1,1.47,59.7,56,Very Good,Good,Slightly Thick to Extremely Thick,None,8.09,5.52,3.29,3350,GIA,None
Heart,,F,VS1,1.02,1.16,57.7,60,Excellent,Very Good,Medium to Thick,None,6.09,7.08,4.08,4670,GIA,None
Princess,Ideal,H,VVS2,1.04,1.02,74.1,68,Excellent,Very Good,Very Thick,None,5.47,5.34,3.95,3650,GIA,None
Round,Excellent,H,VS2,1.01,1,62.2,57,Excellent,Excellent,Medium,None,6.42,6.44,4,4110,GIA,None
Princess,Ideal,D,VVS2,1.01,1.03,69.8,67,Excellent,Very Good,Medium to Slightly Thick,None,5.74,5.59,3.9,1210,GIA Lab-Grown,
Heart,,D,VS1,2.51,1.14,55.9,58,Very Good,Excellent,Slightly Thick to Very Thick,None,8.44,9.62,5.37,4320,GIA Lab-Grown,
Radiant,,F,VS1,1.08,1.45,67.5,66,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.35,5.08,3.43,1050,IGI Lab-Grown,None
Cushion Modified,Ideal,F,VS1,2.04,1.02,65.6,62,Very Good,Excellent,Medium to Thick,None,7.42,7.29,4.78,4860,GIA Lab-Grown,
Pear,,F,VS2,1.02,1.52,62.1,62,Excellent,Very Good,Thick to Very Thick,None,8.52,5.62,3.49,4400,GIA,None
Pear,,G,VS2,1.01,1.57,57.8,58,Very Good,Excellent,Slightly Thick to Very Thick,None,8.88,5.65,3.27,3830,GIA,Strong
Heart,,D,VS1,1.58,1.14,55.4,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.27,8.26,4.58,2210,IGI Lab-Grown,None
Round,Excellent,H,VS2,1,1.01,62.5,57,Excellent,Excellent,Medium to Slightly Thick,None,6.37,6.41,3.99,3940,GIA,None
Princess,Ideal,E,VS1,1.03,1.01,73.6,67,Excellent,Excellent,Medium,Pointed,5.54,5.46,4.02,1030,IGI Lab-Grown,None
Oval,,D,VS1,1,1.35,63.2,62,Excellent,Excellent,Medium to Thick,None,7.62,5.66,3.58,4630,GIA,Strong
Heart,,D,VVS2,1.01,1.17,58.2,56,Excellent,Excellent,Thick to Extremely Thick,None,6.01,7.02,4.09,4280,GIA,Faint
Radiant,,H,VS1,1.02,1.13,70.1,69,Very Good,Very Good,Thick to Very Thick,None,6.03,5.32,3.72,3510,GIA,None
Heart,,G,VVS2,1.01,1.2,61.5,56,Excellent,Very Good,Medium to Thick,None,5.86,7.04,4.33,4630,GIA,None
Radiant,,E,VS1,1.3,1.4,69.5,66,Very Good,Excellent,Slightly Thick to Thick,None,7.85,5.59,3.89,1260,GIA Lab-Grown,
Marquise,,D,VS1,1.09,1.95,60.2,61,Excellent,Very Good,Slightly Thick to Thick,None,10.71,5.5,3.31,1130,GIA Lab-Grown,
Cushion Modified,Ideal,D,VVS1,1.16,1.04,67.5,62,Excellent,Excellent,Medium to Thick,None,6.15,5.94,4.01,2030,GIA Lab-Grown,
Round,Ideal,D,VS1,1.58,1,,,,,,,,,,1850,IGI Lab-Grown,None
Round,Excellent,E,VS1,1.59,1,61.4,56,Excellent,Excellent,Thin to Medium,None,7.52,7.53,4.62,1810,GIA Lab-Grown,
Heart,,D,VVS2,1,1.18,60,59,Excellent,Very Good,Slightly Thick to Thick,None,5.88,6.94,4.16,5870,GIA,None
Heart,,D,VVS1,1.08,1.15,59.6,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.22,7.17,4.27,1950,IGI Lab-Grown,None
Pear,,E,VVS2,1,1.6,55.2,67,Very Good,Very Good,Thick to Extremely Thick,None,9.02,5.62,3.1,4300,GIA,Faint
Oval,,H,VS1,1,1.3,66.6,61,Very Good,Very Good,Slightly Thick to Very Thick,None,7.18,5.54,3.69,3530,GIA,None
Cushion Modified,Ideal,E,VVS1,2.04,1.02,68.5,59,Excellent,Excellent,Medium to Thick,None,7.24,7.08,4.85,3930,GIA Lab-Grown,
Princess,Very Good,H,VS1,1.13,1.06,73.8,75,Very Good,Good,Slightly Thick to Thick,None,6.01,5.69,4.2,3810,GIA,None
Marquise,,F,VS2,1.25,2.23,61,56,Excellent,Very Good,Slightly Thick to Very Thick,None,12.05,5.41,3.31,7480,GIA,None
Round,Very Good,H,VS2,1,1.01,64.3,57,Excellent,Very Good,Thin to Thick,None,6.17,6.25,4,3260,GIA,None
Round,Excellent,D,VS1,1.52,1,61.6,56,Excellent,Excellent,Medium to Slightly Thick,None,7.37,7.39,4.55,1780,GIA Lab-Grown,
Marquise,,D,VVS2,1.1,1.96,64.1,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.58,5.4,3.46,1410,IGI Lab-Grown,None
Radiant,,F,VS2,1,1.09,75.4,72,Excellent,Very Good,Very Thick,None,5.46,4.99,3.76,3140,GIA,Faint
Round,Excellent,H,VS1,1,1,60.4,60,Excellent,Excellent,Medium to Slightly Thick,None,6.46,6.48,3.9,3740,GIA,Strong
Marquise,,D,VVS2,1.05,1.82,61.9,60,Excellent,Excellent,Medium to Thick,None,10.07,5.52,3.41,1360,GIA Lab-Grown,
Heart,,E,VVS2,1.27,1.14,56.3,59,Excellent,Excellent,Thin to Medium,Pointed,6.77,7.73,4.35,1480,IGI Lab-Grown,None
Marquise,,G,IF,2.18,2.06,61.6,62,Very Good,Very Good,Slightly Thick to Thick,None,13.91,6.75,4.16,32020,GIA,None
Oval,,E,VS2,1,1.4,62.5,62,Excellent,Excellent,Thin to Thick,None,7.9,5.63,3.52,4420,GIA,Faint
Heart,,E,VS1,1.55,1.12,56.2,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.21,8.11,4.56,1990,IGI Lab-Grown,None
Oval,,F,VS2,1.02,1.54,62.6,57,Very Good,Excellent,Slightly Thick to Thick,None,8.52,5.55,3.47,3660,GIA,Strong
Princess,Ideal,F,VS2,1.01,1.02,71.2,74,Excellent,Very Good,Thick,None,5.61,5.5,3.91,3310,GIA,None
Marquise,,E,VS1,1.17,2,60.5,59,Excellent,Very Good,Medium to Thick,None,11.13,5.56,3.37,1110,GIA Lab-Grown,
Heart,,D,VS1,3.68,1.15,58.3,57,Excellent,Excellent,Medium to Thick,None,9.38,10.8,6.29,9940,GIA Lab-Grown,
Pear,,D,VS1,1.02,1.54,61.2,57,Excellent,Excellent,Thin to Slightly Thick,Pointed,8.76,5.69,3.48,1110,IGI Lab-Grown,None
Cushion,Ideal,D,VS1,2.78,1.02,65.6,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.28,8.11,5.32,4900,IGI Lab-Grown,None
Radiant,,F,VS1,1.25,1.49,67.5,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.77,5.23,3.53,1270,IGI Lab-Grown,None
Marquise,,F,VVS1,1.03,1.84,61.7,58,Excellent,Excellent,Medium to Slightly Thick,None,9.95,5.4,3.33,5940,GIA,None
Heart,,D,VS2,1.01,1.2,61.5,61,Excellent,Very Good,Thick to Very Thick,None,5.74,6.89,4.23,4370,GIA,None
Heart,,E,VVS1,1,1.11,56,57,Excellent,Very Good,Medium to Thick,None,6.37,7.06,3.95,7300,GIA,None
Princess,Ideal,H,VVS2,1.01,1.01,74,72,Excellent,Very Good,Slightly Thick to Thick,None,5.34,5.27,3.9,3080,GIA,Faint
Pear,,D,VS1,1.01,1.6,63,58,Excellent,Very Good,Slightly Thick to Thick,None,8.88,5.54,3.49,1050,GIA Lab-Grown,
Cushion Modified,Ideal,E,VVS2,1.79,1.03,69.7,58,Excellent,Excellent,Slightly Thick to Very Thick,None,6.98,6.78,4.73,2900,GIA Lab-Grown,
Marquise,,G,VS2,1.02,1.98,61,59,Good,Good,Thin to Extremely Thick,Very Small,10.39,5.24,3.19,5980,GIA,None
Radiant,,F,VVS2,1.02,1.31,69.4,68,Excellent,Excellent,Very Thick,None,6.48,4.93,3.42,1240,GIA Lab-Grown,
Pear,,F,VS1,1.11,1.54,60.4,59,Excellent,Excellent,Medium to Thick,None,9.12,5.94,3.59,1090,GIA Lab-Grown,
Round,Ideal,E,VS1,1.56,1,60.5,58,Excellent,Excellent,Medium,Pointed,7.49,7.52,4.55,1810,IGI Lab-Grown,None
Oval,,F,VS2,1,1.67,65.5,60,Excellent,Very Good,Thick to Very Thick,None,8.6,5.16,3.38,3670,GIA,Medium
Oval,,D,VS1,1.01,1.4,63.5,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.91,5.65,3.59,1070,IGI Lab-Grown,None
Oval,,G,VS1,1,1.42,62.1,60,Excellent,Excellent,Medium to Thick,None,8.04,5.67,3.52,4270,GIA,Faint
Heart,,D,IF,2.27,1.12,58,55,Excellent,Excellent,Slightly Thick to Thick,None,8.12,9.11,5.28,12650,GIA Lab-Grown,
Heart,,D,VS1,1.57,1.1,55.8,63,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.3,8.05,4.49,2200,IGI Lab-Grown,None
Heart,,H,VS2,1.06,1.13,58.6,59,Excellent,Excellent,Slightly Thick to Thick,None,6.27,7.11,4.16,3420,GIA,None
Radiant,,D,VS1,1.01,1.13,67.3,68,Excellent,Good,Thick,None,5.93,5.25,3.53,4350,GIA,None
Marquise,,D,VS1,1.09,1.85,62,61,Excellent,Excellent,Medium to Thick,None,10.27,5.55,3.44,7910,GIA,None
Round,Ideal,D,VS1,1.58,1.01,61.8,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.44,7.48,4.61,1850,IGI Lab-Grown,None
Marquise,,F,VVS2,1.25,2.18,63.1,57,Excellent,Excellent,Thick to Very Thick,None,11.68,5.36,3.38,1380,GIA Lab-Grown,
Round,Excellent,H,VS2,1.02,1,61.8,59,Excellent,Excellent,Slightly Thick,None,6.39,6.42,3.96,4090,GIA,None
Radiant,,F,VS1,1.01,1.27,69.7,69,Excellent,Very Good,Very Thick,None,6.48,5.1,3.55,3820,GIA,Faint
Pear,,D,VS2,1,1.45,66.2,62,Very Good,Very Good,Thick to Extremely Thick,None,7.86,5.42,3.59,4610,GIA,Strong
Radiant,,D,VS1,1.04,1.46,65.8,65,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.26,4.97,3.27,1110,IGI Lab-Grown,None
Marquise,,D,VS1,1,2.01,62.5,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.49,5.22,3.26,1490,IGI Lab-Grown,None
Marquise,,D,VS2,2.01,1.96,62.4,58,Very Good,Very Good,Slightly Thick to Very Thick,None,12.79,6.53,4.07,29450,GIA,None
Marquise,,D,VS1,1.26,1.88,61.8,60,Excellent,Excellent,Slightly Thick to Thick,None,10.88,5.8,3.59,1360,GIA Lab-Grown,
Princess,Ideal,F,VVS2,1.02,1.03,70.7,73,Excellent,Very Good,Medium,Pointed,5.66,5.52,3.9,1080,IGI Lab-Grown,None
Pear,,F,VS1,1.09,1.58,60.1,59,Excellent,Excellent,Slightly Thick to Thick,None,9.29,5.87,3.52,1080,GIA Lab-Grown,
Pear,,H,VS1,1,1.59,61.4,61,Excellent,Excellent,Very Thin to Very Thick,None,8.71,5.49,3.37,4210,GIA,None
Round,Excellent,H,VS2,1,1,59.9,59,Excellent,Excellent,Medium to Slightly Thick,None,6.48,6.51,3.89,3940,GIA,None
Radiant,,D,VVS2,1.03,1.43,66.8,63,Excellent,Excellent,Medium to Slightly Thick,None,7.22,5.05,3.37,1290,GIA Lab-Grown,
Emerald,,G,VS1,1,1.4,72,69,Very Good,Very Good,Thick to Very Thick,None,6.44,4.6,3.31,2370,GIA,Strong
Cushion Modified,Ideal,H,VS2,1,1.01,67.9,60,Excellent,Very Good,Slightly Thick to Very Thick,None,5.51,5.48,3.72,2300,GIA,None
Princess,Ideal,E,VVS2,1.02,1.01,71.8,70,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.47,5.42,3.89,1190,IGI Lab-Grown,None
Radiant,,E,VVS2,1.06,1.42,67.7,65,Excellent,Excellent,Medium,Pointed,7.22,5.07,3.43,1220,IGI Lab-Grown,None
Princess,Ideal,G,VVS1,1.01,1,73.5,75,Excellent,Excellent,Medium to Slightly Thick,None,5.51,5.5,4.05,3150,GIA,Faint
Marquise,,G,VVS2,2,1.84,59.2,58,Excellent,Excellent,Medium to Very Thick,None,12.47,6.79,4.02,23470,GIA,Faint
Oval,,D,VS1,1.02,1.47,63.2,61,Excellent,Excellent,Medium to Thick,None,8.19,5.58,3.53,1080,GIA Lab-Grown,
Oval,,G,VS2,1,1.37,65.9,64,Excellent,Very Good,Medium to Very Thick,None,7.46,5.44,3.58,4090,GIA,None
Marquise,,D,VS1,1.01,2.03,62.4,60,Excellent,Excellent,Slightly Thick,Pointed,10.54,5.18,3.23,1520,IGI Lab-Grown,None
Round,Very Good,H,VS2,1,1.01,64.2,56,Excellent,Very Good,Slightly Thick to Thick,None,6.2,6.28,4.01,3230,GIA,Medium
Heart,,D,VVS2,3.07,1.13,60.6,61,Excellent,Excellent,Slightly Thick to Thick,None,8.91,10.03,6.08,8570,GIA Lab-Grown,
Cushion,Ideal,E,VS1,2.84,1.02,67.9,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.27,8.09,5.49,5790,IGI Lab-Grown,None
Princess,Ideal,E,VVS2,1.08,1.01,71.5,71,Excellent,Very Good,Medium to Slightly Thick,Pointed,5.57,5.54,3.96,1190,IGI Lab-Grown,None
Oval,,D,VS1,1.02,1.39,62.5,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.9,5.7,3.56,1080,IGI Lab-Grown,None
Oval,,F,VVS1,1,1.46,61.4,64,Excellent,Excellent,Slightly Thick to Thick,None,8.04,5.52,3.39,4840,GIA,Faint
Cushion Modified,Ideal,D,VVS2,2.08,1.02,66.7,61,Excellent,Excellent,Slightly Thick to Thick,None,7.36,7.21,4.8,4400,GIA Lab-Grown,
Marquise,,F,VS1,1.14,2.05,63.2,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.97,5.36,3.39,1120,IGI Lab-Grown,None
Pear,,E,VS1,1.05,1.61,61.8,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.16,5.68,3.51,1060,IGI Lab-Grown,None
Marquise,,F,VS2,1,2.18,60.4,56,Excellent,Very Good,Very Thick to Extremely Thick,None,10.91,5.01,3.02,4570,GIA,None
Radiant,,F,VVS1,1.02,1.39,66,65,Excellent,Excellent,Slightly Thick to Thick,None,7.01,5.06,3.34,4570,GIA,Faint
Radiant,,D,VVS2,1.01,1.4,67.6,66,Excellent,Excellent,Thin to Medium,Pointed,7.21,5.16,3.49,1270,IGI Lab-Grown,None
Heart,,F,VS1,1.01,1.21,60.2,63,Excellent,Very Good,Slightly Thick to Thick,None,5.89,7.1,4.27,3980,GIA,Faint
Cushion Modified,Ideal,D,VVS1,1.26,1.02,68.7,61,Excellent,Excellent,Slightly Thick to Very Thick,None,6.15,6.01,4.13,2170,GIA Lab-Grown,
Square Radiant,,H,VS2,1.06,1.05,69.8,64,Excellent,Very Good,Slightly Thick to Thick,None,5.78,5.51,3.85,3540,GIA,None
Radiant,,H,VVS2,1.01,1.31,65.9,69,Very Good,Very Good,Medium to Slightly Thick,None,6.75,5.15,3.39,5120,GIA,None
Heart,,G,VS1,1.5,1.16,57.3,59,Excellent,Very Good,Slightly Thick to Extremely Thick,None,6.89,7.97,4.57,9160,GIA,Faint
Radiant,,F,VS1,1,1.25,71.2,67,Excellent,Excellent,Slightly Thick to Thick,None,6.35,5.07,3.61,3640,GIA,None
Round,Very Good,H,VS2,1.01,1.01,64,57,Excellent,Very Good,Slightly Thick to Thick,None,6.25,6.34,4.03,3640,GIA,None
Heart,,G,VS2,1.51,1.14,59.8,60,Excellent,Excellent,Slightly Thick to Very Thick,None,6.94,7.93,4.74,8120,GIA,None
Cushion Modified,Ideal,D,VVS1,1.18,1.02,65.7,58,Excellent,Excellent,Medium to Thick,None,6.12,5.98,3.93,2060,GIA Lab-Grown,
Round,Ideal,D,VS1,1.58,1,61.5,58,Excellent,Excellent,Medium,Pointed,7.47,7.5,4.6,1850,IGI Lab-Grown,None
Radiant,,F,VVS2,1,1.34,69.6,66,Excellent,Very Good,Thick to Very Thick,None,6.52,4.85,3.38,3690,GIA,Faint
Radiant,,E,VVS2,1.07,1.4,71.5,65,Excellent,Very Good,Thick,None,7.19,5.13,3.67,1170,GIA Lab-Grown,
Cushion,Ideal,E,VS1,2.05,1.01,67.1,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.36,7.3,4.9,3080,IGI Lab-Grown,None
Pear,,D,VS2,1.07,1.5,62.9,64,Excellent,Very Good,Slightly Thick to Thick,None,8.57,5.73,3.6,4820,GIA,None
Pear,,F,VS1,1.03,1.81,61.3,64,Excellent,Excellent,Thin to Medium,Pointed,9.84,5.45,3.34,1030,IGI Lab-Grown,None
Princess,Ideal,G,VS2,1.03,1.02,73.1,75,Excellent,Excellent,Medium to Slightly Thick,None,5.67,5.56,4.06,2920,GIA,None
Oval,,D,VS2,1.01,1.37,64.8,57,Very Good,Very Good,Thin to Very Thick,None,7.61,5.57,3.61,4610,GIA,None
Cushion Modified,Ideal,D,VVS2,1.87,1.03,66.5,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.28,7.1,4.72,4910,IGI Lab-Grown,None
Round,Very Good,H,VS2,1,1.01,64.8,59,Excellent,Very Good,Thin to Thick,None,6.14,6.21,4,3290,GIA,None
Marquise,,E,VVS1,1.02,1.85,59,58,Excellent,Very Good,Slightly Thick to Very Thick,None,10.11,5.47,3.23,1510,GIA Lab-Grown,
Oval,,F,VS1,1.02,1.5,60.6,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.42,5.63,3.41,1020,IGI Lab-Grown,None
Radiant,,D,VVS1,1,1.39,67.7,67,Excellent,Excellent,Thick to Very Thick,None,6.88,4.96,3.36,1750,GIA Lab-Grown,
Round,Excellent,E,VS1,1.52,1.01,62.1,58,Excellent,Excellent,Medium to Slightly Thick,None,7.34,7.4,4.57,1750,GIA Lab-Grown,
Pear,,G,VS1,1,1.56,63.3,56,Excellent,Very Good,Medium to Thick,None,8.69,5.56,3.52,4240,GIA,Faint
Princess,Ideal,D,VS1,1.01,1.03,72.4,68,Excellent,Excellent,Medium,Pointed,5.58,5.43,3.93,1090,IGI Lab-Grown,None
Princess,Very Good,G,VS1,1.01,1,75,72,Very Good,Very Good,Thick to Very Thick,None,5.4,5.4,4.05,3070,GIA,None
Cushion Modified,Ideal,E,VVS2,2.08,1.02,66.8,58,Excellent,Excellent,Medium to Thick,None,7.25,7.14,4.77,3640,GIA Lab-Grown,
Marquise,,D,VVS2,1.02,2.02,62.9,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.59,5.25,3.3,1300,IGI Lab-Grown,None
Square Radiant,,H,VS2,1.02,1,72.5,55,Excellent,Excellent,Slightly Thick to Very Thick,None,5.67,5.67,4.11,4600,GIA,None
Pear,,E,VS1,1.03,1.65,63.5,58,Excellent,Excellent,Slightly Thick to Thick,None,9.11,5.53,3.51,1040,GIA Lab-Grown,
Marquise,,D,VVS1,1.78,1.9,63.8,57,Excellent,Very Good,Thick to Very Thick,None,12.03,6.32,4.03,21990,GIA,None
Pear,,E,VS1,1.12,1.54,57.2,64,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.37,6.07,3.47,1120,IGI Lab-Grown,None
Marquise,,D,VVS2,1,1.75,66,61,Excellent,Very Good,Slightly Thick to Very Thick,None,9.19,5.26,3.47,7880,GIA,Faint
Heart,,H,VS1,1.5,1.14,56.2,60,Excellent,Excellent,Slightly Thick to Thick,None,7.17,8.15,4.58,7510,GIA,Faint
Princess,Very Good,E,VS1,1.01,1.02,74,70,Very Good,Good,Slightly Thick to Thick,None,5.57,5.45,4.03,3620,GIA,None
Marquise,,D,IF,1.02,2.09,58,63,Excellent,Very Good,Thick to Very Thick,None,10.82,5.18,3.01,9290,GIA,None
Radiant,,F,VS1,1.03,1.48,67.8,62,Excellent,Excellent,Medium,Pointed,7.29,4.94,3.35,1070,IGI Lab-Grown,None
Oval,,E,VVS1,1,1.33,62.2,64,Excellent,Very Good,Medium to Thick,None,7.55,5.67,3.53,5010,GIA,Faint
Oval,,E,VS1,1.09,1.49,61.2,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.59,5.77,3.53,1060,IGI Lab-Grown,None
Pear,,F,VS1,1.12,1.58,61,60,Excellent,Excellent,Medium,Pointed,9.21,5.82,3.55,1100,IGI Lab-Grown,None
Marquise,,D,VS2,1.5,1.9,63,56,Excellent,Very Good,Thin to Very Thick,None,11.4,6,3.78,14630,GIA,None
Cushion Modified,Very Good,H,VS1,1.01,1.13,73.5,63,Excellent,Excellent,Very Thin to Thick,None,5.84,5.18,3.81,2390,GIA,Faint
Marquise,,D,VS2,1,1.8,63.4,63,Excellent,Excellent,Medium to Very Thick,None,9.52,5.3,3.36,5430,GIA,None
Princess,Ideal,H,VVS1,1.01,1.01,72.4,71,Excellent,Excellent,Slightly Thick to Thick,None,5.5,5.47,3.96,3320,GIA,None
Radiant,,F,VS1,1.05,1.49,68.4,65,Excellent,Excellent,Medium,Pointed,7.34,4.94,3.38,1080,IGI Lab-Grown,None
Pear,,G,VS1,1.02,1.65,62.5,55,Excellent,Excellent,Medium to Thick,None,9.15,5.56,3.48,3450,GIA,Strong
Cushion Modified,Ideal,D,VVS1,1.31,1.03,67.9,59,Excellent,Very Good,Medium to Thick,None,6.35,6.14,4.17,2150,GIA Lab-Grown,
Princess,Ideal,F,VS1,1.18,1,71,70,Excellent,Excellent,Medium,Pointed,5.79,5.79,4.11,1150,IGI Lab-Grown,None
Princess,Ideal,D,VS1,1.05,1.01,71.5,69,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.54,5.48,3.92,1130,IGI Lab-Grown,None
Square Radiant,,H,VS2,1.03,1,72.4,55,Excellent,Excellent,Medium to Very Thick,None,5.71,5.7,4.13,4640,GIA,None
Radiant,,G,VVS2,1.07,1.3,67.4,66,Excellent,Very Good,Slightly Thick to Thick,None,6.67,5.13,3.46,3970,GIA,None
Emerald,,F,VS2,1,1.3,72.5,64,Excellent,Very Good,Very Thick to Extremely Thick,None,6.13,4.73,3.42,2940,GIA,None
Marquise,,F,VS2,1,1.75,61.6,64,Excellent,Excellent,Thin to Thick,None,9.58,5.48,3.38,4450,GIA,Faint
Oval,,G,VVS2,1.03,1.44,62.5,58,Excellent,Excellent,Medium to Slightly Thick,None,8.13,5.63,3.52,5190,GIA,None
Pear,,D,VS1,1,1.54,66.2,58,Very Good,Very Good,Slightly Thick to Very Thick,None,8.27,5.37,3.56,4010,GIA,Medium
Oval,,E,VS2,1,1.35,63.5,59,Excellent,Excellent,Medium to Slightly Thick,None,7.66,5.68,3.61,3560,GIA,Strong
Heart,,D,VVS2,1.01,1.19,59.7,62,Excellent,Very Good,Slightly Thick to Very Thick,None,5.82,6.92,4.13,5050,GIA,Faint
Round,Very Good,E,VS2,1,1.01,64.7,55,Excellent,Very Good,Medium to Thick,None,6.17,6.25,4.02,4080,GIA,Faint
Radiant,,E,VS1,1.15,1.47,67.1,66,Excellent,Excellent,Medium,Pointed,7.62,5.19,3.48,1160,IGI Lab-Grown,None
Heart,,D,VVS2,2.18,1.14,58,62,Excellent,Excellent,Medium to Thick,None,7.96,9.09,5.27,4740,GIA Lab-Grown,
Round,Excellent,G,VS2,1,1.01,62.8,61,Very Good,Very Good,Medium to Slightly Thick,None,6.29,6.37,3.98,4000,GIA,None
Pear,,F,VS1,1.02,1.66,60.3,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.27,5.59,3.37,1020,IGI Lab-Grown,None
Round,Ideal,D,VS1,1.58,1,61.6,57,Excellent,Excellent,Medium,Pointed,7.46,7.49,4.6,1850,IGI Lab-Grown,None
Heart,,F,VS2,1.2,1.11,55.6,61,Excellent,Excellent,Slightly Thick to Very Thick,None,6.79,7.54,4.19,4870,GIA,Faint
Marquise,,H,VS2,1,1.76,55.1,59,Good,Good,Very Thin to Extremely Thick,Very Small,9.62,5.48,3.02,4800,GIA,None
Heart,,E,VS1,3.6,1.14,56.9,62,Excellent,Excellent,Slightly Thick to Very Thick,None,9.43,10.74,6.11,7880,GIA Lab-Grown,
Pear,,D,VS2,1.03,1.6,58.5,61,Excellent,Excellent,Medium to Very Thick,None,9.02,5.64,3.3,4980,GIA,None
Pear,,D,VS2,1.01,1.56,62.4,59,Excellent,Very Good,Slightly Thick to Thick,None,8.66,5.55,3.47,4612,GIA,None
Round,Very Good,H,VS2,1,1.01,62.9,58,Excellent,Very Good,Medium to Slightly Thick,None,6.29,6.37,3.98,3890,GIA,None
Marquise,,D,VS1,1,1.98,63.3,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.32,5.2,3.29,1200,IGI Lab-Grown,None
Marquise,,H,VVS2,1.03,2.3,56.6,64,Excellent,Excellent,Slightly Thick to Thick,None,12.03,5.23,2.96,4780,GIA,None
Round,Very Good,H,VS2,1,1.01,62.4,58,Excellent,Very Good,Medium to Thick,None,6.27,6.34,3.93,3610,GIA,None
Marquise,,E,VS2,1,1.85,64,59,Excellent,Very Good,Medium to Thick,None,9.56,5.17,3.31,4150,GIA,Faint
Heart,,G,VVS2,1.01,1.21,60.8,58,Excellent,Very Good,Thick to Very Thick,None,5.79,6.99,4.25,4850,GIA,None
Heart,,D,VS2,1,1.17,58.5,58,Excellent,Excellent,Medium to Thick,None,6.08,7.11,4.16,4480,GIA,Faint
Round,Very Good,H,VS2,1.01,1,64.2,57,Excellent,Excellent,Medium to Thick,None,6.25,6.28,4.02,3490,GIA,None
Round,Excellent,H,VS2,1,1.01,59.7,62,Excellent,Excellent,Medium to Slightly Thick,None,6.45,6.5,3.86,4080,GIA,None
Pear,,D,VS2,1.02,1.71,62,58,Excellent,Excellent,Slightly Thick to Thick,None,9.31,5.46,3.38,4790,GIA,None
Round,Very Good,G,VS2,1,1.01,64.4,61,Very Good,Very Good,Slightly Thick to Thick,None,6.2,6.28,4.02,3900,GIA,None
